,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,review_id,app_id,review_text,label
0,0.0,0.0,0.0,0.0,136524320.0,2008820,"i can confirm that the game contains a knight that is mourning.
10/10 recommended",1.0
1,1.0,1.0,1.0,1.0,136524365.0,2008820,"Really good game, enjoyed every second of it",1.0
2,2.0,2.0,2.0,2.0,116734222.0,1729900,Its not finished yet but honestly it has great potential and could become a big game,1.0
3,3.0,3.0,3.0,3.0,116989907.0,1729900,"Hey. It's really good. Songs are good, Gameplay is alright. This is pretty good!",1.0
4,4.0,4.0,4.0,4.0,136568878.0,307950,Fun so far,1.0
5,5.0,5.0,5.0,5.0,136569128.0,307950,"I'd rather play Warface then this. Horrible design Choices: 1. The Hud is a cluster fuck 2. You have a picture as a Scope (???) 3. Unlocking Operators takes forever 4. You respawn with the same amount of ammo you had before dying (???) 5. Ammo Boxes have a 5 minute cooldown 6. You only have 3 mags and it takes almost a full one to kill someone 7. You can only use your grenade/rpg once a match 8. Pretty much pay2win with the operators since you can just buy them, one has a one shot sniper 9. Horrible voice acting 10. You cant preview any Items 11. You can only pick 1 Item from a Lootbox and Finally 12. Bad Optimisation, i get more fps playing MW 2022.",0.0
6,6.0,6.0,6.0,6.0,136568966.0,307950,"I have been playing this game since OBT and enjoying it ever since. The game is dynamic, has various game modes (with Frontline being my favorite) and has a great variety of operators. While being free, it doesn't feel like a pay-to-win thing. I'm glad that it's finally on Steam so there's no need to use the separate launcher. All the best to the devs, you're going a great job!",1.0
7,7.0,7.0,7.0,7.0,136568944.0,307950,"Nice game!
Loads of different characters with cool customization",1.0
8,8.0,8.0,8.0,8.0,136569188.0,307950,"All hail NA servers! From 180 ping to 60, love it.
Give it a chance, it's a grind but a fun and well worth one.",1.0
9,9.0,9.0,9.0,9.0,136569393.0,307950,enjoying it so far. in canada. no latency issues. game runs butter on my 1660 ti,1.0
10,10.0,10.0,10.0,10.0,129334667.0,1498040,"This game came as a little surprise for me, it is unique and not a ripoff from VS or so, so dont worry about that.
It is addictive and challenging to say the least :) Lots of fun for a nice low price, worth every bit!",1.0
11,11.0,11.0,11.0,11.0,129295452.0,1498040,"Great fun 
",1.0
12,12.0,12.0,12.0,12.0,129476716.0,1498040,Fantastic consept! I cant wait to expeirence the full game. some of the mechanics are hard to understand how they work but that is part of the fun! it has crashed a few time but it is still in pre production so no skin off my back because of that! lots of fun! cant wait to see more types of interactions,1.0
13,13.0,13.0,13.0,13.0,129485954.0,1498040,"You know the game is good when you brag how the game doesn't have fps drops, and then change your spells to the point you get less then 1 fps and instantly kill the whole screen but it takes minutes for it to process.",1.0
14,14.0,14.0,14.0,14.0,129489496.0,1498040,"EDIT: My issues have been addressed.  Proceed with making crazy combos, and enjoy!



Don't buy this.  You'll see people make these crazy combos on youtube once they upgrade their brain a bit, but at some point the cost was increased from a reasonable 400 cells to an absurd 1500 cells, and the maximum brain level was greatly reduced.  The entire reason I bought the game was removed.",1.0
15,15.0,15.0,15.0,15.0,136554704.0,2156300,AMAZIIIIIIIIIIING GAME CAN'T WAIT FOR THE STORY LINE TO BE LONGER. THIS IS AMAZING.,1.0
